Locality,Sample,mab,Latitude,Longitude,Geologic Unit(s),Fossil,Fossil Subgroup,Fossil Unit,Reference,Period,Epoch,Age,projectName,Sample Collector
AMNH 25,AMNH 25,n/a,31.8288,-104.8689,Lamar Limestone,Invertebrate,Brachiopod,Tropidelasma gregarium,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 28,AMNH 28,n/a,31.8895,-104.8139,Getaway Limestone,Invertebrate,Brachiopod,Echinauris productelloides,Cooper and Grant (1977),Permian,Guadalupian,Roadian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 28,AMNH 28,n/a,31.8895,-104.8139,Getaway Limestone,Invertebrate,Brachiopod,Hustedia citeria,Cooper and Grant (1977),Permian,Guadalupian,Roadian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 28,AMNH 28,n/a,31.8895,-104.8139,Getaway Limestone,Invertebrate,Brachiopod,Meekella skenoides,Cooper and Grant (1977),Permian,Guadalupian,Roadian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 33,AMNH 33,n/a,31.9244,-104.7669,Pinery Limestone,Invertebrate,Brachiopod,Anteridocus swallovianus,Cooper and Grant (1977),Permian,Guadalupian,Wordian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 33,AMNH 33,n/a,31.9244,-104.7669,Pinery Limestone,Invertebrate,Brachiopod,Bryorhynchus bisulcatum,Cooper and Grant (1977),Permian,Guadalupian,Wordian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 33,AMNH 33,n/a,31.9244,-104.7669,Pinery Limestone,Invertebrate,Brachiopod,Chonetinetes varians,Cooper and Grant (1977),Permian,Guadalupian,Wordian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 33,AMNH 33,n/a,31.9244,-104.7669,Pinery Limestone,Invertebrate,Brachiopod,Composita pyriformis,Cooper and Grant (1977),Permian,Guadalupian,Wordian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 33,AMNH 33,n/a,31.9244,-104.7669,Pinery Limestone,Invertebrate,Brachiopod,Crenispirifer jubatus,Cooper and Grant (1977),Permian,Guadalupian,Wordian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 33,AMNH 33,n/a,31.9244,-104.7669,Pinery Limestone,Invertebrate,Brachiopod,Derbyia sp.,Cooper and Grant (1977),Permian,Guadalupian,Wordian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 33,AMNH 33,n/a,31.9244,-104.7669,Pinery Limestone,Invertebrate,Brachiopod,Dyoros (Dyoros) intrepidus,Cooper and Grant (1977),Permian,Guadalupian,Wordian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 33,AMNH 33,n/a,31.9244,-104.7669,Pinery Limestone,Invertebrate,Brachiopod,Fascicosta elongata,Cooper and Grant (1977),Permian,Guadalupian,Wordian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 33,AMNH 33,n/a,31.9244,-104.7669,Pinery Limestone,Invertebrate,Brachiopod,Heterelasma shumardianmum,Cooper and Grant (1977),Permian,Guadalupian,Wordian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 33,AMNH 33,n/a,31.9244,-104.7669,Pinery Limestone,Invertebrate,Brachiopod,Hustedia demissa,Cooper and Grant (1977),Permian,Guadalupian,Wordian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 33,AMNH 33,n/a,31.9244,-104.7669,Pinery Limestone,Invertebrate,Brachiopod,Hustedia opsia,Cooper and Grant (1977),Permian,Guadalupian,Wordian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 33,AMNH 33,n/a,31.9244,-104.7669,Pinery Limestone,Invertebrate,Brachiopod,Hustedia rupinata,Cooper and Grant (1977),Permian,Guadalupian,Wordian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 33,AMNH 33,n/a,31.9244,-104.7669,Pinery Limestone,Invertebrate,Brachiopod,Madarosia anterolamellata,Cooper and Grant (1977),Permian,Guadalupian,Wordian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 33,AMNH 33,n/a,31.9244,-104.7669,Pinery Limestone,Invertebrate,Brachiopod,Micraphelia subalata,Cooper and Grant (1977),Permian,Guadalupian,Wordian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 33,AMNH 33,n/a,31.9244,-104.7669,Pinery Limestone,Invertebrate,Brachiopod,Paraspiriferina sapinea,Cooper and Grant (1977),Permian,Guadalupian,Wordian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 33,AMNH 33,n/a,31.9244,-104.7669,Pinery Limestone,Invertebrate,Brachiopod,Paucispinifera latidorsata,Cooper and Grant (1977),Permian,Guadalupian,Wordian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 33,AMNH 33,n/a,31.9244,-104.7669,Pinery Limestone,Invertebrate,Brachiopod,Plectelasma guadalupense,Cooper and Grant (1977),Permian,Guadalupian,Wordian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 33,AMNH 33,n/a,31.9244,-104.7669,Pinery Limestone,Invertebrate,Brachiopod,Reticulariina welleri,Cooper and Grant (1977),Permian,Guadalupian,Wordian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 33,AMNH 33,n/a,31.9244,-104.7669,Pinery Limestone,Invertebrate,Brachiopod,Spiriferella sp.,Cooper and Grant (1977),Permian,Guadalupian,Wordian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 33,AMNH 33,n/a,31.9244,-104.7669,Pinery Limestone,Invertebrate,Brachiopod,Spiriferellina nuda,Cooper and Grant (1977),Permian,Guadalupian,Wordian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 33,AMNH 33,n/a,31.9244,-104.7669,Pinery Limestone,Invertebrate,Brachiopod,Tautosia shumardiana,Cooper and Grant (1977),Permian,Guadalupian,Wordian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 33,AMNH 33,n/a,31.9244,-104.7669,Pinery Limestone,Invertebrate,Brachiopod,Thedusia ventricosa,Cooper and Grant (1977),Permian,Guadalupian,Wordian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 33,AMNH 33,n/a,31.9244,-104.7669,Pinery Limestone,Invertebrate,Brachiopod,Timorina ovata,Cooper and Grant (1977),Permian,Guadalupian,Wordian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 37,AMNH 37,n/a,31.9729,-104.7503,Lamar Limestone,Invertebrate,Brachiopod,Allorhynchus sp.,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 37,AMNH 37,n/a,31.9729,-104.7503,Lamar Limestone,Invertebrate,Brachiopod,Anteridocus swallovianus,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 37,AMNH 37,n/a,31.9729,-104.7503,Lamar Limestone,Invertebrate,Brachiopod,Aphaurosia rotundata,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 37,AMNH 37,n/a,31.9729,-104.7503,Lamar Limestone,Invertebrate,Brachiopod,Arionthia lamaria,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 37,AMNH 37,n/a,31.9729,-104.7503,Lamar Limestone,Invertebrate,Brachiopod,Astegosia subquadrata,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 37,AMNH 37,n/a,31.9729,-104.7503,Lamar Limestone,Invertebrate,Brachiopod,Composita affinis,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 37,AMNH 37,n/a,31.9729,-104.7503,Lamar Limestone,Invertebrate,Brachiopod,Composita emarginata,Cooper and Grant (1977),Permian,Guadalupian,Capitanian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
